GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons IO,org.apache.commons.io.monitor,FileEntry,173,0,24,0,42,0,32,0,20,0
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationListenerAdaptor,11,0,0,0,9,0,9,0,9,0
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationMonitor,188,0,26,0,58,0,25,0,12,0
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationObserver,563,0,70,0,123,0,58,0,23,0
Apache Commons IO,org.apache.commons.io.serialization,WildcardClassNameMatcher,11,0,0,0,4,0,2,0,2,0
Apache Commons IO,org.apache.commons.io.serialization,ValidatingObjectInputStream,230,0,18,0,40,0,21,0,12,0
Apache Commons IO,org.apache.commons.io.serialization,FullClassNameMatcher,16,0,0,0,4,0,2,0,2,0
Apache Commons IO,org.apache.commons.io.serialization,RegexpClassNameMatcher,24,0,2,0,8,0,4,0,3,0
Apache Commons IO,org.apache.commons.io.input,UnixLineEndingInputStream,116,0,24,0,35,0,18,0,6,0
Apache Commons IO,org.apache.commons.io.input,ReversedLinesFileReader.FilePart,338,0,44,0,63,0,27,0,5,0
Apache Commons IO,org.apache.commons.io.input,ClosedInputStream,10,0,0,0,3,0,3,0,3,0
Apache Commons IO,org.apache.commons.io.input,CharacterFilterReader,15,0,2,0,4,0,3,0,2,0
Apache Commons IO,org.apache.commons.io.input,CountingInputStream,86,0,6,0,20,0,10,0,7,0
Apache Commons IO,org.apache.commons.io.input,ObservableInputStream.Observer,9,0,0,0,6,0,6,0,6,0
Apache Commons IO,org.apache.commons.io.input,CharSequenceReader,172,0,22,0,37,0,20,0,9,0
Apache Commons IO,org.apache.commons.io.input,InfiniteCircularInputStream,27,0,0,0,6,0,2,0,2,0
Apache Commons IO,org.apache.commons.io.input,BOMInputStream.new Comparator() {...},21,0,4,0,8,0,4,0,2,0
Apache Commons IO,org.apache.commons.io.input,ReversedLinesFileReader,257,0,32,0,57,0,25,0,9,0
Apache Commons IO,org.apache.commons.io.input,AutoCloseInputStream,24,0,2,0,11,0,5,0,4,0
Apache Commons IO,org.apache.commons.io.input,SwappedDataInputStream,102,0,6,0,26,0,19,0,16,0
Apache Commons IO,org.apache.commons.io.input,MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver,19,0,0,0,7,0,3,0,3,0
Apache Commons IO,org.apache.commons.io.input,BoundedReader,100,0,12,0,27,0,12,0,6,0
Apache Commons IO,org.apache.commons.io.input,XmlStreamReader,1377,0,160,0,204,0,104,0,24,0
