GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons FileUpload,org.apache.commons.fileupload2.disk,DiskFileItemFactory,16,60,1,1,6,20,4,8,3,8
Apache Commons FileUpload,org.apache.commons.fileupload2.disk,DiskFileItem,119,321,19,35,29,88,23,31,6,21
Apache Commons FileUpload,org.apache.commons.fileupload2.util,LimitedInputStream,22,42,2,4,6,14,2,7,1,5
Apache Commons FileUpload,org.apache.commons.fileupload2.util,Streams,27,108,2,18,7,32,4,11,2,3
Apache Commons FileUpload,org.apache.commons.fileupload2.util,FileItemHeadersImpl,0,79,0,6,0,20,0,8,0,5
Apache Commons FileUpload,org.apache.commons.fileupload2.servlet,ServletRequestContext,23,30,0,0,5,10,1,6,1,6
Apache Commons FileUpload,org.apache.commons.fileupload2.servlet,FileCleanerCleanup,36,0,0,0,11,0,6,0,6,0
Apache Commons FileUpload,org.apache.commons.fileupload2.servlet,ServletFileUpload,13,28,2,0,3,7,2,5,1,5
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase.InvalidContentTypeException,8,4,0,0,4,2,2,1,2,1
Apache Commons FileUpload,org.apache.commons.fileupload2,MultipartStream,108,495,11,37,32,106,14,30,5,15
Apache Commons FileUpload,org.apache.commons.fileupload2,MultipartStream.IllegalBoundaryException,7,0,0,0,4,0,2,0,2,0
Apache Commons FileUpload,org.apache.commons.fileupload2,ParameterParser,16,438,8,72,5,89,9,43,1,11
Apache Commons FileUpload,org.apache.commons.fileupload2,MultipartStream.MalformedStreamException,3,4,0,0,2,2,1,1,1,1
Apache Commons FileUpload,org.apache.commons.fileupload2,InvalidFileNameException,0,10,0,0,0,4,0,2,0,2
Apache Commons FileUpload,org.apache.commons.fileupload2,MultipartStream.ItemInputStream,50,285,12,34,16,65,11,23,2,9
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase.SizeException,3,13,0,0,1,5,1,2,1,2
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUpload,0,16,0,0,0,8,0,4,0,4
Apache Commons FileUpload,org.apache.commons.fileupload2,DiskFileUpload,41,16,0,0,13,6,6,3,6,3
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase.FileUploadIOException,0,9,0,0,0,4,0,2,0,2
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase.IOFileUploadException,0,10,0,0,0,4,0,2,0,2
Apache Commons FileUpload,org.apache.commons.fileupload2,DefaultFileItem,0,9,0,0,0,2,0,1,0,1
Apache Commons FileUpload,org.apache.commons.fileupload2,DefaultFileItemFactory,0,20,0,0,0,6,0,3,0,3
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase.SizeLimitExceededException,12,6,0,0,4,2,2,1,2,1
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase.FileSizeLimitExceededException,6,14,0,0,2,6,2,3,2,3
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase,148,464,20,38,40,127,28,30,12,17
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase.FileItemIteratorImpl.new LimitedInputStream() {...},0,36,0,0,0,5,0,2,0,2
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase.FileItemIteratorImpl.FileItemStreamImpl.new LimitedInputStream() {...},0,54,0,0,0,8,0,2,0,2
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase.FileItemIteratorImpl.FileItemStreamImpl,9,130,2,10,2,33,2,13,0,9
Apache Commons FileUpload,org.apache.commons.fileupload2,FileItemStream.ItemSkippedException,3,0,0,0,1,0,1,0,1,0
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadException,33,15,4,0,12,6,5,3,3,3
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase.UnknownSizeException,7,0,0,0,4,0,2,0,2,0
Apache Commons FileUpload,org.apache.commons.fileupload2,MultipartStream.ProgressNotifier,0,41,0,2,0,13,0,5,0,4
Apache Commons FileUpload,org.apache.commons.fileupload2,FileUploadBase.FileItemIteratorImpl,46,344,12,38,14,86,12,18,0,5
Apache Commons FileUpload,org.apache.commons.fileupload2.portlet,PortletFileUpload,23,11,0,0,5,3,4,2,4,2
Apache Commons FileUpload,org.apache.commons.fileupload2.portlet,PortletRequestContext,23,30,0,0,5,10,1,6,1,6
Apache Commons FileUpload,org.apache.commons.fileupload2.util.mime,MimeUtility,92,268,11,29,15,70,10,14,0,4
Apache Commons FileUpload,org.apache.commons.fileupload2.util.mime,QuotedPrintableDecoder,0,104,0,14,0,29,0,9,0,2
Apache Commons FileUpload,org.apache.commons.fileupload2.util.mime,ParseException,4,0,0,0,2,0,1,0,1,0
Apache Commons FileUpload,org.apache.commons.fileupload2.util.mime,Base64Decoder,0,416,1,21,0,37,1,12,0,2
